dataset,seed,cell_id,comparison,family,treatment,reference,rmse_treatment,rmse_reference,delta_rmse,relative_delta,direction,n_future_points
dynamic_cycling,2026,cell_082,Abc-A0,primary,Abc,A0,0.0029482392796895845,0.0023354079637504265,0.000612831315939158,0.26240867782047533,worse,1027
dynamic_cycling,2026,cell_086,Abc-A0,primary,Abc,A0,0.0012318228937017736,0.001149559527228218,8.226336647355567e-05,0.07156077134335664,worse,77
dynamic_cycling,2026,cell_089,Abc-A0,primary,Abc,A0,0.009472884593132112,0.008489296911698738,0.0009835876814333743,0.11586208983666646,worse,861
dynamic_cycling,2026,cell_093,Abc-A0,primary,Abc,A0,0.004113302078089802,0.003406574701274207,0.0007067273768155951,0.20745982072585942,worse,861
dynamic_cycling,2026,cell_009,Ac-A0,primary,Ac,A0,0.0037027138357985253,0.0011467768312476419,0.0025559370045508834,2.2288007002810986,worse,1147
dynamic_cycling,2026,cell_010,Ac-A0,primary,Ac,A0,0.002211976473061466,0.0009927110460507718,0.0012192654270106941,1.2282178503616,worse,1147
dynamic_cycling,2026,cell_019,Ac-A0,primary,Ac,A0,0.011699307462420813,0.010844363565148714,0.000854943897272099,0.07883762768888455,worse,1147
dynamic_cycling,2026,cell_020,Ac-A0,primary,Ac,A0,0.01010393386876,0.00923986021683796,0.0008640736519220406,0.09351587920642175,worse,1147
dynamic_cycling,2026,cell_030,Ac-A0,primary,Ac,A0,0.0021782656314073834,0.0021971560508464165,-1.8890419439033124e-05,-0.008597668532353865,improve,1132
dynamic_cycling,2026,cell_031,Ac-A0,primary,Ac,A0,0.004747140103611982,0.004547483978231225,0.0001996561253807573,0.04390474520339375,worse,1085
dynamic_cycling,2026,cell_033,Ac-A0,primary,Ac,A0,0.0031844283862940913,0.0032884509807754774,-0.00010402259448138605,-0.031632703388163506,improve,1304
dynamic_cycling,2026,cell_045,Ac-A0,primary,Ac,A0,0.003307205851250042,0.0029254209191042473,0.0003817849321457946,0.13050598279809106,worse,1575
dynamic_cycling,2026,cell_050,Ac-A0,primary,Ac,A0,0.004647478691434752,0.005031328686066577,-0.0003838499946318243,-0.07629197346912212,improve,1004
dynamic_cycling,2026,cell_054,Ac-A0,primary,Ac,A0,0.0017328347366721206,0.0019513795116094565,-0.00021854477493733586,-0.1119950135978853,improve,1932
dynamic_cycling,2026,cell_056,Ac-A0,primary,Ac,A0,0.004415837639659096,0.002651117788886706,0.0017647198507723901,0.6656512427210771,worse,1004
dynamic_cycling,2026,cell_060,Ac-A0,primary,Ac,A0,0.0025385247252523373,0.0028373801570357646,-0.00029885543178342737,-0.10532794875666016,improve,1218
dynamic_cycling,2026,cell_068,Ac-A0,primary,Ac,A0,0.0031631073551807456,0.0033270689288845898,-0.0001639615737038442,-0.04928108710955166,improve,1290
dynamic_cycling,2026,cell_072,Ac-A0,primary,Ac,A0,0.0033738153139113284,0.003733556274839477,-0.00035974096092814857,-0.09635343207559273,improve,1361
dynamic_cycling,2026,cell_080,Ac-A0,primary,Ac,A0,0.007281901067231908,0.007656775512474347,-0.00037487444524243914,-0.048959832325199716,improve,1147
dynamic_cycling,2026,cell_082,Ac-A0,primary,Ac,A0,0.002451707775379066,0.0023354079637504265,0.00011629981162863956,0.04979849920605475,worse,1027
dynamic_cycling,2026,cell_086,Ac-A0,primary,Ac,A0,0.0014315035536630746,0.001149559527228218,0.0002819440264348566,0.24526265909401945,worse,77
dynamic_cycling,2026,cell_089,Ac-A0,primary,Ac,A0,0.008845456525749551,0.008489296911698738,0.00035615961405081366,0.041953958938578916,worse,861
dynamic_cycling,2026,cell_093,Ac-A0,primary,Ac,A0,0.0037656987948975814,0.003406574701274207,0.0003591240936233744,0.10542087730794407,worse,861
dynamic_cycling,2026,cell_009,Ab-A0,secondary,Ab,A0,0.0006318874517332599,0.0011467768312476419,-0.000514889379514382,-0.44898829962775355,improve,1147
dynamic_cycling,2026,cell_010,Ab-A0,secondary,Ab,A0,0.001465219659325884,0.0009927110460507718,0.0004725086132751123,0.47597799496123067,worse,1147
dynamic_cycling,2026,cell_019,Ab-A0,secondary,Ab,A0,0.010200814926022093,0.010844363565148714,-0.0006435486391266204,-0.05934406710549962,improve,1147
dynamic_cycling,2026,cell_020,Ab-A0,secondary,Ab,A0,0.008596763536532036,0.00923986021683796,-0.0006430966803059237,-0.06960026074139058,improve,1147
dynamic_cycling,2026,cell_030,Ab-A0,secondary,Ab,A0,0.0025173803939207164,0.0021971560508464165,0.0003202243430742999,0.14574492464972572,worse,1132
dynamic_cycling,2026,cell_031,Ab-A0,secondary,Ab,A0,0.005123488829472262,0.004547483978231225,0.0005760048512410375,0.1266645147071147,worse,1085
dynamic_cycling,2026,cell_033,Ab-A0,secondary,Ab,A0,0.0029287803736977405,0.0032884509807754774,-0.0003596706070777369,-0.10937386908924515,improve,1304
dynamic_cycling,2026,cell_045,Ab-A0,secondary,Ab,A0,0.002457224375827224,0.0029254209191042473,-0.00046819654327702334,-0.16004416329270774,improve,1575
dynamic_cycling,2026,cell_050,Ab-A0,secondary,Ab,A0,0.004468606252836408,0.005031328686066577,-0.0005627224332301686,-0.11184370339161787,improve,1004
dynamic_cycling,2026,cell_054,Ab-A0,secondary,Ab,A0,0.0024151286640317084,0.0019513795116094565,0.00046374915242225197,0.23765195322757154,worse,1932
dynamic_cycling,2026,cell_056,Ab-A0,secondary,Ab,A0,0.0023412591194314505,0.002651117788886706,-0.00030985866945525565,-0.11687849961030052,improve,1004
dynamic_cycling,2026,cell_060,Ab-A0,secondary,Ab,A0,0.0027537391579512092,0.0028373801570357646,-8.364099908455538e-05,-0.029478249108478946,improve,1218
dynamic_cycling,2026,cell_068,Ab-A0,secondary,Ab,A0,0.003264617892733787,0.0033270689288845898,-6.245103615080266e-05,-0.01877058680949528,improve,1290
dynamic_cycling,2026,cell_072,Ab-A0,secondary,Ab,A0,0.0032563542696038136,0.003733556274839477,-0.0004772020052356634,-0.1278143330667168,improve,1361
