dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,Truth,truth,0.94949495,0.822270627771,0.802760644585,0.845248029473,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.95959596,0.81572156394,0.795569019396,0.839905702169,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.96969697,0.809124230421,0.788801615714,0.834711906678,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.97979798,0.802742689477,0.781667990123,0.828624021917,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.98989899,0.79624779962,0.775030358651,0.822227198273,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,1.00000000,0.789790654732,0.76812599664,0.816222254075,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.00000000,0.996711721102,0.994596128356,1.00061288642,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.01010101,0.996378804108,0.994192121988,0.999467249456,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.02020202,0.995849906654,0.993790551264,0.998212622446,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.03030303,0.995046605871,0.993445502907,0.996944143411,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.04040404,0.99422785112,0.993010116012,0.995981830755,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.05050505,0.993498302871,0.992604138022,0.995838069112,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
